"New order email sent","Neue Bestell-E-Mail wurde gesendet"
"You notified customer about invoice #%1.","Sie haben den Kunden über Rechnung #%1 benachrichtigt"
"PAY. canceled the order","PAY. - Bestellung wurde storniert"
"PAY. Uncanceled order","PAY. - Stornierung der Bestellung rückgängig gemacht"
"We cannot un-cancel this order.","Wir können diese Bestellung nicht rückgängig machen"
"Invalid return, no transactionId specified","Ungültige Rückgabe, keine Transaktions-ID angegeben"
"There was an error checking the transaction status","Es ist ein Fehler beim Überprüfen des Transaktionsstatus aufgetreten"
"Order has been made and the payment is pending.","Die Bestellung wurde aufgegeben und die Zahlung steht aus."
"Payment canceled","Zahlung storniert"
"Payment denied","Zahlung abgelehnt"
"Something went wrong, please try again later","Es ist ein Fehler aufgetreten. Bitte versuchen Sie es später erneut"
"Enter your API token and SL-code first","Geben Sie zuerst Ihren API-Token und Ihre Service-ID ein"
"No","Nein"
"Yes","Ja"
"Not active, activate on My.pay.nl first","Nicht verfügbar. Sie können dies in admin.pay.nl aktivieren"
"Dutch","Niederländisch"
"English","Englisch"
"German","Deutsch"
"Italian","Italienisch"
"French","Französisch"
"Spanish","Spanisch"
"After successful payment","Nach erfolgreicher Zahlung"
"Before payment","Vor Zahlung"
"Choose your bank","Wählen Sie Ihre Bank"
"Choose the pin terminal","Wählen Sie das Pin-Terminal"
"Notice","Hinweis"
"An e-mail containing a PAY. paylink will be sent.","Eine E-Mail mit einem PAY. Zahlungslink wird gesendet."
"Valid for","Gültig für"
"days","Tage"
"Enabled","Aktiviert"
"Title","Titel"
"New Order Status","Neuer Bestellstatus"
"Payment from Applicable Countries","Zahlungen aus anwendbaren Ländern"
"Payment from Specific Countries","Zahlungen aus bestimmten Ländern"
"Instructions","Anweisungen"
"Minimum Order Total","Mindestbestellwert"
"Maximum Order Total","Maximaler Bestellwert"
"Sort Order","Sortierreihenfolge"
"Send new order email","Neue Bestell-E-Mail senden"
"Advanced","Erweitert"
"Payment option id","Zahlungsoption ID"
"Show bank selection","Bankauswahl anzeigen"
"PAY. Settings","PAY. Einstellungen"
"The id of the payment method, only change this if you are told to do so","Die ID der Zahlungsmethode, ändere dies nur, wenn dir dazu Anweisungen gegeben wurden"
"Testmode","Testmodus"
"Show bankselection","Bankauswahl anzeigen"
"API token","API token"
"AT-code","AT-code"
"Set order on-hold","Bestellung auf 'In Wartestellung' setzen"
"SL-code","Service-ID"
"Language payment screen","Sprachauswahl Zahlungsbildschirm"
"Never cancel order","Bestellung niemals stornieren"
"Paymentmethods","Zahlungsmethoden"
"This setting will disable cancelling the order when the payment is cancelled.","Diese Einstellung deaktiviert die Stornierung der Bestellung, wenn die Zahlung abgebrochen wird. Dies kann verwendet werden, wenn das Wiederherstellen der Bestellung bei einer Zweitchance-Zahlung Fehler verursacht. WARNUNG! Bestellungen werden niemals automatisch storniert."
"Always use base currency","Immer die Basiskurrency verwenden"
"Set this to yes if you always want to process payments in the base currency of this store. Magento acts strange when trying to register a payment in another currency than the base currency.","Setze dies auf Ja, wenn du Zahlungen immer in der Basiskurrency dieses Geschäfts verarbeiten möchtest. Magento verhält sich seltsam, wenn versucht wird, eine Zahlung in einer anderen Währung als der Basiskurrency zu registrieren. Die Basiskurrency MUSS EUR sein"
"Skip fraud detection","Betrugserkennung überspringen"
"Sometimes magento incorrectly marks an order as fraudulent. this happens more often when using different currencies. Set this to yes to skip fraud detection.","Manchmal markiert Magento eine Bestellung fälschlicherweise als betrügerisch. Dies passiert häufiger, wenn verschiedene Währungen verwendet werden. Setze dies auf Ja, um die Betrugserkennung zu überspringen."
"Get your AT-code <a target='_blank' href='https://admin.pay.nl/company/tokens'>here</a>. Not registered at PAY? Sign up <a target='_blank' href='https://www.pay.nl/en?register'>here</a>!", "Hol dir deinen AT-Code <a target='_blank' href='https://admin.pay.nl/company/tokens'>hier</a>. Noch nicht bei PAY registriert? Melde dich <a target='_blank' href='https://www.pay.nl/en?register'>hier</a> an!"
"Your API token, you can find your tokens <a target='_blank' href='https://my.pay.nl/company/tokens'>here</a>", "Dein API-Token, du findest deine Tokens <a target='_blank' href='https://admin.pay.nl/company/tokens'>hier</a>"
"The SL-code of your sales location, you can find your sales locations  <a target='_blank' href='https://my.pay.nl/programs/programs'>here</a>", "Der SL-Code deines Dienstes, du findest deine Dienste <a target='_blank' href='https://admin.pay.nl/programs/programs'>hier</a>"
"URL of the payment option icons. Default URL: https://static.pay.nl/payment_profiles/50x32/#paymentOptionId#.png","URL der Icons für die Zahlungsoptionen. Standard-URL: https://static.pay.nl/payment_profiles/50x32/#paymentOptionId#.png"
"Send discount tax","Rabattsteuer senden"
"Set this to NO if you have a mix of low and high vatrate products. Some pay later methods have issues when the discount has a tax amount other than the default vat categories","Setze dies auf NEIN, wenn du eine Mischung aus Produkten mit niedrigem und hohem Mehrwertsteuersatz hast. Einige spätere Zahlungsmethoden haben Probleme, wenn der Rabatt einen Steuerbetrag hat, der nicht den standardmäßigen Mehrwertsteuerkategorien entspricht"
"Paylink is only available for backorders and won't appear in the checkout","Die Zahlung per Link ist nur für Nachbestellungen verfügbar und wird nicht im Checkout angezeigt"
"Thank you for your order from ","Vielen Dank für deine Bestellung bei "
"If you have questions about your order, you can email us at","Wenn du Fragen zu deiner Bestellung hast, kannst du uns per E-Mail kontaktieren unter"
"In order to pay for your order click the link below","Klicken Sie auf den unten stehenden Link, um Ihre Bestellung zu bezahlen"
"PAY. paylink","PAY. Zahlungslink"
"Paylink order","Bestellungs-Zahlungslink"
"A Pay. paylink has been sent to","Ein E-Mail mit einem PAY. Zahlungslink wird gesendet an"
"Billing Info","Rechnungsadresse"
"Shipping Info","Versandadresse"
"Payment Method","Zahlungsmethode"
"Shipping Method","Versandart"
"Your Order","Ihre Bestellung"
"Placed on","Bestellt am"
"Qty","Menge"
"Items","Artikel"
"Price","Preis"
"Subtotal","Zwischensumme"
"Shipping & Handling","Versand und Bearbeitung"
"Grand Total","Gesamtbetrag"
"Offline refund","Offline-Erstattung"
"This will create an offline refund. To create an online refund, open an invoice and create credit memo for it. Do you want to continue?","Dies wird eine Offline-Rückerstattung erstellen. Um eine Online-Rückerstattung zu erstellen, öffnen Sie eine Rechnung und erstellen Sie eine Gutschrift für sie. Möchten Sie fortfahren?"
"Thank you for your purchase!","Vielen Dank für Ihren Kauf!"
"The payment has been canceled.","Die Zahlung wurde storniert."
"PAY. -Order has been shipped, but no invoice was found. Capturing the payment automatically.","PAY. -Die Bestellung wurde versandt, aber keine Rechnung wurde gefunden. Die Zahlung wird automatisch erfasst."
"On","Ein"
"Off","Aus"
"Auto capture","Automatische Erfassung"
"Automatically capture authorisation-transaction when creating the shipment for the order.","Erfasse automatisch eine Genehmigungs-Transaktion beim Erstellen der Lieferung für die Bestellung."
"PAY. - Performed auto-capture. Result: ","PAY. - Automatische Erfassung durchgeführt. Ergebnis: "
"All of them","Alle"
"Custom","Benutzerdefiniert"
"Only available with IP-Address","Nur verfügbar mit IP-Adresse"
"Add a comma between IP addresses for multiple inputs.","Fügen Sie zwischen IP-Adressen für mehrere Eingaben ein Komma hinzu."
"Only available with useragent","Nur verfügbar mit Useragent"
"Custom useragent","Benutzerdefinierter Useragent"
"Add a comma between useragents for multiple inputs.","Fügen Sie zwischen Useragents für mehrere Eingaben ein Komma hinzu."
"Show COC field","Zeige Handelsregisternummer-Feld"
"When chosen for this method the customer can additionally enter his COC before continuing.","Wenn diese Methode gewählt wird, kann der Kunde zusätzlich seine Handelsregisternummer eingeben."
"Show VAT field","Zeige USt-Nummer-Feld"
"When chosen for this method the customer can additionally enter his VAT-id before continuing.","Wenn diese Methode gewählt wird, kann der Kunde zusätzlich seine USt-IdNr. eingeben, bevor er fortfährt."
"Show Date of birth field","Zeige Geburtsdatum-Feld"
"When chosen for this method the customer can additionally enter his date of birth before continuing.","Wenn diese Methode gewählt wird, kann der Kunde zusätzlich sein Geburtsdatum eingeben, bevor er fortfährt."
"Optional","Optional"
"Required","Erforderlich"
"Optional for business customers","Optional für Geschäftskunden"
"Required for business customers","Erforderlich für Geschäftskunden"
"COC number","Handelsregisternummer"
"VAT number","USt-IdNr."
"Date of birth","Geburtsdatum"
"Invalid VAT number","Ungültige USt-IdNr."
"Enter a valid VAT number","Geben Sie eine gültige USt-IdNr. ein."
"Invalid date of birth","Ungültiges Geburtsdatum"
"Enter a valid date of birth","Geben Sie ein gültiges Geburtsdatum ein."
"Invalid COC number","Ungültige Handelsregisternummer"
"Enter a valid COC number","Geben Sie eine gültige Handelsregisternummer ein."
"Payment terms","Zahlungsbedingungen"
"You must first agree to the payment terms.","Sie müssen zuerst den Zahlungsbedingungen zustimmen."
"If you have a feature request or other ideas, let us know!","Wenn Sie einen Funktionswunsch oder andere Ideen haben, lassen Sie es uns wissen!"
"Your submission will be reviewed by our development team.","Ihr Beitrag wird von unserem Entwicklungsteam geprüft."
"If needed, we will contact you for further information via the e-mail address provided.","Falls wir weitere Informationen benötigen, werden wir Sie für weitere Informationen über die angegebene E-Mail-Adresse kontaktieren."
"Please note: this form is not for Support requests, please contact support@pay.nl for this.","Bitte beachten Sie: Dieses Formular ist nicht für Support-Anfragen. Bitte wenden Sie sich dafür an support@pay.nl."
"Email","Email"
"Message","Nachricht"
"Leave your suggestions here...","Hinterlassen Sie hier Ihre Vorschläge..."
"Sent! Thank you for your contribution.",Gesendet! Vielen Dank für Ihren Beitrag."
"Email could not be sent, please try again later.","E-Mail kann nicht gelöscht werden. Probieren Sie es später aus."
"Suggestions?","Vorschläge?"
"Pay. - Suggestions?","Pay. - Vorschläge?"
"Submit","Absenden"
"Please fill in your message.","Bitte füllen Sie Ihre Nachricht aus."
"Please fill in a valid email.","Bitte geben Sie eine gültige E-Mail-Adresse ein."
"Success","Erfolg"
"Error", "Fehler"
"PAY. - Refund initiated from Pay.","PAY. - Erstattung von Pay. initiiert"
"Set to `on` to accept refunds initiated from Pay.","Setzen Sie diese Option auf `Ein`, um von Pay. initiierte Erstattungen zu verarbeiten."
"Prefix the order description with a custom word","Stellen Sie der Bestellbeschreibung ein benutzerdefiniertes Wort voran."
"Pay: here is your","Pay.: Hier sind Sie"
"Dropdown","Runterfallen"
"List with logos","Liste der Logos"
"Token code, API token and SL-code are required","Token-Code, API token und SL-Code sind erforderlich"
"SL-code, API token or token code invalid","ServiceId, API-token of token code zijn onjuist"
"SL-code is invalid","ServiceId is onjuist"
"SL-code / API token combination invalid","SL-code / API token combinatie onjuist"
